Category,ProcessedText,SpeakerDialect
كوميدي,اقول طال عمرك ان الكلام اللي قاله مناحي ما عليه خلاف,Najdi
كوميدي,اشغي اشغي يا ولا اشغد قبل ما الم عليك الخلق,Egyptian
كوميدي,لا حول ولا قوة الا بالله,Egyptian
كوميدي,عمري قلت لا ابوي ابوي اخوي ابدا ليه لاني عارف انه اي واحد لابد انه يتمرمط في بدايته شفنا شفنا الويلات,Najdi
اطفال,انتا فين يا وليد,Hijazi
درامي,اللي رموه بالسجن وهم عارفين انه نظيف وبريء,Najdi
اطفال,شمي زين,Najdi
اطفال,لا يا ولدي,Egyptian
درامي,هنوصله ان شاء الله ما تقلقش معاك جاد لفيتها بلاد يا نهار اسود الاجهزة بسرعة افصل كل حاجة,Egyptian
كوميدي,ها,Najdi
درامي,يا رب انه يتحقق,Hijazi
اطفال,مستحيل ام الخير تكون اتقنة التمثيل للدرجة هذى,Hijazi
كوميدي,وفي الاخير اندورهم بالحقوق المدنية هاهاها تسمعونني,Najdi
كوميدي,وش قاعد تقول,Najdi
كوميدي,تعشى علي مطر مطر فاضي الحين,Najdi
كوميدي,وقبل ما تعلمهم على الاجتماع ويحضرون,Najdi
كوميدي,يلا سلم لي على الوالدة مع السلامة,Najdi
اطفال,اصحاب سرقة الراحة الابدية باختطاف جدو سرحان وسعيد,Egyptian
كوميدي,للعملية كبرت اوي ودخلت في سكك ظلم لا احنا ملناش في المشاكل دي بقولك ايه يامه احنا نمشي ونسيب الناس دول في حالهم,Egyptian
اطفال,في شي يا جدو سرحان,Hijazi
درامي,اليوم العصر بعد ما رجع من الشركة,Khaliji
درامي,وتورطت وماني عارف انه يقابل غير,Hijazi
كوميدي,اللي صابره عليه وعلى خمايله,Khaliji
كوميدي,سموها الجودة والنوعية واللي راح فيها هذا المستهلك البسيط عدنان يا حبيبي ما دام ومكبرين الوسادة جيبوا كل البضايع اللي في البطحة وفي الخزان وحطوها في العليا وبيعوا بثلاثمية ريال بدل ثلاثين وجيبولنا خياطين وختم ولزق هي صناعة حطوا ما عندكم احد وما حولكم احد مكبرين وسادة يا عدنان فهمت ولا ما فهمت يلا,Khaliji
اطفال,شكرا يا جدو سرحان انت ابو الاصول,Hijazi
درامي,بس انت بتسال ليش,Hijazi
درامي,بشغلك المهم,Hijazi
كوميدي,مو صحيح يا ابو ناصر المفروض الطالب اللي زي ناصر ينام في سريره تسعة ونص عشرة بالكثير,Najdi
اطفال,معلش يا ولدي جرب مرة واثنين وثلاثة واربعة,Egyptian
كوميدي,هذا بح ما في روح روح,Khaliji
اطفال,انا سمورة واكلي لزيز,Egyptian
كوميدي,الى من عنده فضة ومن لا عنده فضة,Najdi
درامي,بس ما تعطيني فرصة حتى اتكلم,Hijazi
درامي,انت حر,Egyptian
كوميدي,محمد,Najdi
درامي,حكايتش انتي المفروض يدرسونها بمستشفى المجانين,Najdi
درامي,مو بلازم تعرفه,Egyptian
كوميدي,اخ منك يا نابغ اخ ان ما رجعت نابغ الاولي,Najdi
كوميدي,ايه يا ابو جندل انت رجال عاقل ووجه رجال وانت تدري ان نفلة ودها زعال,Najdi
كوميدي,خلها تستاهل هي اللي بغيت السفر لكن بعد ولدي المخدة اللي ابدن من تقول لا مش ركض وراها,Hijazi
درامي,ها يا حبيبي,Najdi
درامي,وبعدين,Khaliji
درامي,لكن على العموم مبروك,Najdi
اطفال,المهم جدو سرحان عندكم,Hijazi
اطفال,ا يعني ايه,Hijazi
درامي,استنى لحد ما يستريح شوي,Egyptian
كوميدي,انا بكلفك بمهمه,Khaliji
اطفال,بحر,Najdi
اطفال,ايش مخبي عليا صفوان,Hijazi
درامي,وكل هذا,Hijazi
درامي,مكان بعيد ومنعزل,Egyptian
اطفال,انا نفسي اعرف,Hijazi
كوميدي,طبعا وغيرهم وصلوا للخمسين والستين الف كمان,Najdi
درامي,ان شاء الله ابوك يجي الليلة ونستعد نقول للخبر الحلو,Najdi
درامي,وانت مالك واحدة وحرة ببيتها انت مالك فيها,Egyptian
كوميدي,لا بعد,Khaliji
درامي,صح,Hijazi
درامي,ايه,Najdi
اطفال,المفروض يتبع خطوتين,Hijazi
كوميدي,لازم تتصلون بربعنا اللي في الرياض وتجيبولي بيانات ومعلومات عن كل القطاوة المفقودة في الرياض,Najdi
كوميدي,وشاورتهم وكلهم الحقيقة مصرين على القصر يقولون حتى لو تاجل الزواج ما هي مشكلة اه,Najdi
درامي,لا يا ولدي لا,Najdi
درامي,دكتورة انتي قلتيلها انها حامل ولا لا,Najdi
كوميدي,الو هلا هلا هاهاها وش اخبارك,Najdi
درامي,قال لي روحي ن نادي لابن فهره قوام,Egyptian
اطفال,صحيح يا جدو يعني يعني حن في الجريدة يا جدو,Hijazi
كوميدي,اسمه اسمه اي,Hijazi
اطفال,تاكدت من جميع المنافذ,Hijazi
درامي,انت معايا في كل وقت يا بابا والحمد لله انا من ساعة ما وصلت هنا استقبال وحرص وعناية,Hijazi
كوميدي,يعني هم اه خطهم غير خطنا نعم خطهم غير خطنا يعني لا يمكن ان مثلا انا اجيب اغنية اه,Hijazi
اطفال,وانت ما تقدر تكسرها وانت في حلقك اخوانك الصغار مين راح يدبر امورهم,Najdi
اطفال,مغامرات البهلوان كان في بهلوان قزم غلبان بيفلف على المدن علشان لقمة العيش وفي يوم وصل الى مدينة من المدن ودخل سوقها علشان يمكن يلاقي شغل عن واحد من تجار السوق,Hijazi
كوميدي,يسلم راسك يا ابو فيصل,Najdi
درامي,ان شاء الله يوافق,Najdi
كوميدي,والحارة اللي احنا فيها ديت اعتقد اسمها مسعال مش كده برضه,Egyptian
اطفال,انت الي برمجتيه,Hijazi
كوميدي,واي واي,Najdi
كوميدي,انشاء الله بعد ساعة بغذن الله تاخذونه معاكم و تروحوا البيت,Egyptian
درامي,انت على كذه يا بشمهندس بتضيع وقتك,Hijazi
كوميدي,شوفي,Khaliji
كوميدي,بس انت يعني انت مختلف انت يعني يعني انت منطلق نحو الحياة الناس يحبونك وانت تحبهم,Najdi
درامي,انا معك ما راح اترك,Khaliji
اطفال,مين يقول مين يقول انه انا ابيع صحني صحني اللي شاهد اجمل والذ الاكلات في البلد علشان اشتري ال الشبكة مجنون انا,Najdi
درامي,ها احمد قولي,Najdi
كوميدي,اتفضل,Hijazi
اطفال,حاضر اهاهاهاها,Egyptian
اطفال,ام رحمة عبرت عن سعادتها بردة فعل بنتها واللي سمعت الكلام وما لمست ولا قطعة من الالعاب بالعكس حلت الواجب,Najdi
درامي,يخلي لك عيالك علميني,Najdi
كوميدي,هذا يجي يقولي المخرج ما التزم الثاني يجيني يقولي المعد بينسحب الثالث يجي يقولي انا بنسحب من البرنامج كلو,Najdi
درامي,من معاملته السيئة معانا كان يجي تالي الليل,Khaliji
درامي,او نكون صدنا البيت وصار من نصيبنا,Najdi
درامي,لا بص خلينا عندي في البيت احسن عشان لو هنشتغل نشتغل على اللاب توب وكمان شبكة التقوية,Egyptian
درامي,حتى لو كانت مرة وتجرح,Khaliji
درامي,حقيقة,Egyptian
كوميدي,شكوك يعني لين تجيب الرجال عندنا هني في البيت ذيك الساعة يصير مهو بشكوك,Najdi
كوميدي,في وين,Khaliji
كوميدي,يعني ادخل عليها لا اعرفها ولا تعرفني,Najdi
درامي,حتى اذا بدا والي الليل,Hijazi
كوميدي,عاد الله يسلمك عاد جاي اننا,Najdi
درامي,عمي حسن يسلم عليكي طيب طيب يلا مع السلامة مع السلامة,Khaliji
كوميدي,حياك الله يا ابو فيصل,Khaliji
كوميدي,بس انتي تعالي يلا جيب اشيائك تعالي تعالي خليك ورايا تعالي يلا انا حاليا هاوريكم كل الاقسام طيب بس ابغاك كده تكتبي كل شيء وتسجلي هيا تعالي جيبي اشيائك,Hijazi
كوميدي,اقول اخوي عبد الحميد,Najdi
كوميدي,عمل وطني مفيش استعراض مش عايزين عادل امام,Egyptian
كوميدي,ما تاخر,Khaliji
درامي,ها تحسبني خبلة مثله,Najdi
اطفال,مو جايز يا فهد انه احنا نبحث في اتجاه غلط,Hijazi
درامي,ايش فيك يا سارة,Khaliji
اطفال,كيف وصلتم الى هنا اذن,Khaliji
اطفال,طيب والعمل يا رهيب احنا لسه ما خلصنا الخطة هنا في الجزيرة,Najdi
كوميدي,قيام,Najdi
درامي,في امي,Khaliji
درامي,زين يا سارة,Khaliji
كوميدي,وش رايك يا رامي عياش,Najdi
كوميدي,ابوك ما يبيك تدمر مستقبلك,Najdi
كوميدي,وفي احزانهم وفي كل حتة نشاركهم وبكده هيشيلوك من على الارض شيل,Egyptian
اطفال,خذ,Hijazi
درامي,حتى لو يبي فلوس عشرة عشرين ثلاثين الف يمه,Khaliji
درامي,الفوضى حقت زمان انتهت,Khaliji
درامي,ومخلص لي,Hijazi
اطفال,طمني يا دكتور,Hijazi
اطفال,يعني ايه,Najdi
اطفال,يسعدنا اليوم ان نحتفل بشخص عزيز علينا كلنا,Hijazi
كوميدي,يبا ما في ما في الا خان,Khaliji
درامي,يبقى الاجيال التي تربت على اخلاق العود تبقى المحبة اللي زرعها العود في اولاده واحفاده يبقى اسمه العود اللي يحمل كل واحد فيكم,Najdi
كوميدي,داخل خلف كبر ها شكرا ها تنشغل شرطيا بابا منشور بكون طلعوا بعرف بشورت شور لا حول ولا قوة الا ما حل محل سبحنا يا بابا بو محمد يا يا بيبي شوركم اشور تعالوا شاشتري,Hijazi
درامي,فهد,Najdi
كوميدي,حياتنا حياتنا كلها تفشلت يمه كلها اتفشلت,Khaliji
كوميدي,يا غبي ما تعرف ويش هو ترمبوكيت شوف على وجهي وشكلي وتعرف ويش تقصد,Hijazi
كوميدي,الشنطة فاضية فاضية يا خالي فاضية يا اوادم تفضلوا ما فيها الا ثيابي وبس ها,Najdi
درامي,الحمد لله,Hijazi
كوميدي,حاله قبلي لي واجب هوا ه,Najdi
درامي,واذا كان سالم اخوكي اللي عنده ما همك فيه عنده البنوك تارسه الديرة يروح يتسلف منها,Najdi
درامي,ااه اخ ياني منك روح روح منك لله يا شيخ اتفضل ادخل جوة يا موهوم يا ملعون في ناسك اتفضل ادخل جوه,Egyptian
كوميدي,ما قدامه الا العافية,Najdi
درامي,غيرواضح,Najdi
كوميدي,استغفر الله العظيم يا اخي استغفر الله العظيم واتوب اليه,Khaliji
اطفال,ا في الروبوت التقني هو اول موظف الي توظف في وزارة التعليم وكانت وظيفته تقييم الخدمات وارسال رسائل للزوار وفي كمان هذي صوفيا روبوت منح الجنسية السعودية ويتميز بذكاؤه وتعابير وجهه,Najdi
كوميدي,الو الو لطيفة ايش هالكلام اللي قاعدة تقوله بنتك هذا كلام ما يدخل المخ,Khaliji
درامي,المهم قولي لي,Najdi
كوميدي,انا تعبان من الدحيل توني جاي ف ابغى اريح اريح شوي لا تلفونات ولا من جاء ومن راح انا نايم اوكي,Najdi
اطفال,طلبت انها تروح لسندريلا والبساط دا حين بينفذ اللي طلبته,Hijazi
كوميدي,نسولف الحمار ولا الوقفة,Khaliji
درامي,ها نازلة نازلة نازلة,Hijazi
كوميدي,زين,Najdi
درامي,س توك تطيح على الم فرص يا ابو هرش ان,Najdi
كوميدي,اه الحقيقة يعني هو ماخذ غرفة جنبي مزعجني شوية يعني عاملي عاملي قلق فاضيلي الحقيقة و هو رجل بثر ممل يعني في مواصفات بالمرة يعني مزعجة باختصار شديد يعني انا اسف اني انا,Najdi
درامي,ولا فايزة,Najdi
درامي,غيرواضح عارفة زين ما يقصد,Khaliji
كوميدي,بس هذا يجوز اخلاقيا,Khaliji
اطفال,تعني يا مستعد انا ليس عادي ورجع لاولاده انا مستعد ان هو اريد اروح طب طول عمري ببلاش,Khaliji
كوميدي,اخر لحظة هذا هذا رقمه,Najdi
كوميدي,ريحت,Egyptian
درامي,ايه حلوة بس انه,Najdi
كوميدي,هو ينتظر بس ايه كلاوديا لا تنتظر,Hijazi
كوميدي,اه يا صقر,Khaliji
كوميدي,حتى كنت اطبخ طبخة عزيمة عشان لا جوني خواتك اقولهم اخوي حسين كان عندي مثل ما انت كنت تسوي كل خميس مع خواتك,Najdi
درامي,سند هاهاها السند في البيت طال عمرك,Najdi
كوميدي,طيب وش السوات,Najdi
كوميدي,اه,Najdi
اطفال,طبعا طبعا طبعا يا سيد حكيم احنا نقرا ونكتب ولله الحمد كلنا كده كلنا ما عدى البقرة البعيدة هذي,Hijazi
كوميدي,حبيتها,Najdi
درامي,اسمعني زين انا في بيني وبينك اتفاق حلو اتمنى,Hijazi
اطفال,يعني اذا كبرت ان شاء الله زين تبي تصير رائد فضاء انت بتصير رائد فضاء نقول اهلا وسهلا برائد الفضاء هاشم يبغى يطلع فوق بروح,Hijazi
درامي,انا,Khaliji
درامي,انت بالنسبة لك كنز ثروة مستحيلة,Najdi
كوميدي,انتوا هتتكلموا باللهجة المصرية,Egyptian
درامي,علمنا علمنا الحين ميزر وينه في,Najdi
درامي,لا يا حبيبتي انا عارفة انها تقصدني انا وسعود لما تزوجتة,Najdi
اطفال,يا مرحبا يا مرحبا يا مرحبا يا اهلا وسهلا,Hijazi
اطفال,انا عمري ما كنت اوريكي وجهي,Hijazi
كوميدي,لا يا خزنة لا,Khaliji
كوميدي,مات ازاي هو من الي مات يا اخي ان شاء الله انت يا اخي غيرواضح,Egyptian
اطفال,معاك الحق طب ليه ما قلت هذا الكلام للعم,Najdi
اطفال,طيب وين,Hijazi
درامي,اتهموا ميزر,Najdi
درامي,وانت الان مع امراة غيري كم اعاني وليتك تشعر كم اعاني هاهاها مسكينة هذه مرة تعاني ها وش رايك مناسبة للخطة ولا لا,Najdi
كوميدي,ردت يا ليل ماطولك,Najdi
درامي,والله العظيم انا ما فارق معايا اي حاجة في الدنيا غيرك انتي,Egyptian
كوميدي,ابوك يا فيصل ابوك ما في قلبه رحمه بعد ما مرضت تخلى عنا حتى وانا بالمستشفى ما يزورنا,Khaliji
كوميدي,اوكي شوف شيء مفيد تسويه,Najdi
درامي,جدي شبيب,Khaliji
درامي,تعدنا لكن هذا اقول قلي دحين ايش الحل في المصيبة هذه ايش بك ساكت طبعا ما انت عارف ايش تقول وعامل فيها محاسب قد الدنيا و دقيق وامين قلبك على السوبر ماركت كل شويه تتنطط عند ابويا الحق ابو مصطفى شوف يا ابو مصطفى ولدك مصطفى سوى ولدك مصطفى اخذ يا شيخ ياشيخ جننتنى انت عارف ابويا كان مشغل اشكالك,Hijazi
درامي,انا غلطت في حقك,Khaliji
كوميدي,اسمع يا فؤاد قوم قوم وديني بيت اهلي ماني قادرة اتنفس فى شي كاتم على صدري قوم يا فؤاد,Najdi
كوميدي,دام انك انت تسوي صلاة تسوي صوم تسوي حج اكيد انك تعرف,Khaliji
كوميدي,شروط ما قلتلك شرط,Hijazi
درامي,بلا صياح بلا انت يلا شوفو الاكل عندكم كلوا ولا بكيفكم انا رجال اروح للشركة عندي شغل وش كثره,Khaliji
كوميدي,شكرا بارك الله فيتش مع السلامة مع السلامة,Najdi
كوميدي,الحمد لله خلص ما بقى يوقف كلام كركركركر من الصبح اعوذ بالله تسلم يحبيبتي دروح اشوف عبد الاله لازم يكون نصب نفسه مدير الاقليم خلينا نروح نشوف,Hijazi
درامي,كنت احل مشاكل غيري بوعي وبحكمة,Khaliji
كوميدي,جازان ضربة جزاء ضربة جزاء لصالح فريق الهدف و كرة ملعوبة من ضربة جزاء لصالح فريق الهدف وهذا اللاعب مالك لوا محترف الحقيقة من القارات الغنية ولا يضيعها مالك لوا ضربة جزاء محترف نموذج للمحترف سيئ الحقيقة مالك لوا والحقيقة هناك اسماء واشكال غريبة في هذه الملاعب تحترف بطريقة غريبة جدا ويبدو ان هناك يعني في عمولات وفي سماسرة وفي,Hijazi
درامي,و الله انك صادقه,Khaliji
كوميدي,سم طال عمرك اي خدمة,Najdi
درامي,تعب وشغل يا حماده,Najdi
درامي,حوش البركان حوش حوش الفيضان حوش,Egyptian
كوميدي,بس انتا وياه ياولد انطمواسكتو,Najdi
كوميدي,المهم,Najdi
درامي,هلا يبا,Najdi
كوميدي,لا انا ما اقبل كده الموضوع فيه مؤامرة ايه فيه مؤامرة يا وضحى كده تصوتي لمرزوق لاتصوتي لي لا اكيد الموضوع فيه مؤامرة,Khaliji
كوميدي,الغدا زين ما عليه اجيب الغدا ه تفضل لحظة واحدة وجايك ها,Khaliji
كوميدي,اسمع يا عمي سمعتيه خليك مع ابوك عمك بيتقهوى ويعاود,Hijazi
كوميدي,اوو,Egyptian
كوميدي,نكون قد دخلنا الى العصر الحديث ولكن بوعي,Najdi
اطفال,مع السلامة يا دكتور,Hijazi
اطفال,اخدوا المشروع,Hijazi
اطفال,صراحة,Hijazi
كوميدي,الان انت ماشي في طريق,Najdi
كوميدي,السلام عليكم,Hijazi
درامي,وفيها الحز نايمة,Hijazi
اطفال,تمشي العيال فين انت حتكون بعيد عن العيال الاف الكيلومترات,Hijazi
درامي,ابوك كل ساعه غيرواضح ياخالد,Khaliji
كوميدي,تزوج افا,Khaliji
درامي,انا ابغى اخوي سعد سعد,Najdi
اطفال,معقولة الكلام اللي انت بتقوله هذا,Hijazi
كوميدي,صراحة ما اذكر وش قالت بالضبط,Hijazi
اطفال,لا اله الا الله اسمع,Hijazi
درامي,اكلت سكر ولا ما اكلت سكر اللي الله كاتبه اللي بيجيني لمين احارم النفس من التميرة الله لا يخليني منها مش سوالف,Najdi
درامي,بنت اختي زي بنتي بالظبط,Hijazi
كوميدي,نعم يا خوي,Egyptian
درامي,مبدل,Khaliji
اطفال,ماني عارف يا بويا ربنا يستر,Egyptian
كوميدي,يعني مثلا عندكم الاستاذ يوسف اخويا في الست اشهر اللي فاتت فقط ساحب مليون ريال تحت بند حساب يوسف الشخصي قولي انت بقى ده بر هاللعبة ولا جواها ياسي يوسف دي حاجة الحاجة التانية,Egyptian
اطفال,تعبانة,Hijazi
كوميدي,الله يسلمك,Khaliji
درامي,ما في احد لو دخل يدخل,Najdi
كوميدي,والله كلام زهرة درر,Najdi
درامي,مش خايفة على نفسي,Egyptian
اطفال,الخبر العظيم,Hijazi
درامي,الحين يوم ما عرفت الحقيقة,Najdi
اطفال,نخلص من قضية مستنير,Hijazi
درامي,مثل ما كنت دايم وهو صغير,Najdi
اطفال,لو قلنا اشطر,Najdi
كوميدي,يا صقر يا صقر,Khaliji
درامي,ااه ممكن لانه الان في مكان فيه تشويش على اجهزة التتبع,Hijazi
اطفال,ميكرو ربسر اصغر ديناصور ميكرو ربسر,Najdi
اطفال,يا سعد لو في اصلا مركبة فضاء,Hijazi
كوميدي,ما عليه امر بهذا الشيء,Najdi
درامي,سارة تبي ترجع حق سعود بس مكابرة,Khaliji
اطفال,وبكيل,Egyptian
درامي,احس انه ولدي تغير,Khaliji
درامي,هو حامد اتصل هنا,Hijazi
درامي,ولكن ما تدرين يعني ما تدرين ان انقلبوا علي اش راح يسوون فيني ما راح يتركوني,Khaliji
كوميدي,قلت له يا بني انت مشروع نجم,Egyptian
درامي,كل اللي القاه قدامي اكلو كل اللي القاه,Hijazi
كوميدي,اقول كم كم نزله نزله بلا فضايح قدام استاذي,Hijazi
درامي,لا ما يحتاجها ما يحتاج الكتاب باين من عنوانه الشوارع والبيوت مليانة من القرود,Najdi
درامي,صار لي ثلاث اسابيع,Najdi
درامي,محمد لا عاد ينسب لي ولا عاد ينسب لي,Khaliji
كوميدي,راح نمسي العصر السبت نبي نصرف دراهم من البنك طلع البنك المقفل وتفشلنا معه المطار,Khaliji
كوميدي,مو كفو مشاريع,Khaliji
درامي,وهذه الدموع يما لاجل جدي العود وش الي تبدل يما,Najdi
درامي,ايه هو الاكبر بالمصايب اسمع يا فهد,Egyptian
كوميدي,الله يالزمن الله يالزمن اللي ضاعت فيه الاخوة,Hijazi
درامي,انا من رائي ناجل محمد عبده للمرحلة الثانية,Najdi
اطفال,المعلم فرحات الوحيد,Hijazi
درامي,لو انتو سمعتوا كلام فيصل قال لكم لا تدخلوا في موضوع محمد وزواجه,Najdi
درامي,قم يا اخوي اسمع صوت الطقطقة والازعاج الى بره,Khaliji
كوميدي,دلع البنات هذا اللي ما له لزمة موهو بعندي انا ابدا موهو بعندي,Najdi
درامي,انا انا ماله اذا اكلات نزع ولو طول علي بعدك عشان عشان انتهى بخير,Khaliji
كوميدي,يعني انتي موافقة يا بنتي كرم الله,Khaliji
كوميدي,حكمنا بالتالي,Najdi
كوميدي,ولا تذكريني في النهار,Khaliji
درامي,يلا يا عم ايدك على الحلاوة,Hijazi
كوميدي,لا قعدي بكتبلك قعدي واكتب واكتب انا انا اكتب اي شيء اذا ما كتب حق اختي عزيزتي الوحيدة من لاكتب اختي الوحيدة,Najdi
كوميدي,اه الحقني الحقني الحق عليهم,Hijazi
اطفال,ايش بها سمورة كده شكلها قلقان,Hijazi
اطفال,ايش به,Hijazi
كوميدي,يمكن اقدر اسوي شي,Khaliji
كوميدي,طبعا,Najdi
اطفال,انا بصدقك ولا النازلة,Najdi
درامي,ما في حد قادر يفهمك,Najdi
اطفال,معقولة خذ,Hijazi
درامي,بس بس وطي صوتك ما ابي اخبرها بشي الا ان ينتهي العرس ابي ارسلها لامها,Khaliji
اطفال,اي,Hijazi
درامي,احد زار عمي اليوم,Hijazi
كوميدي,يعني ضيع الخمسين الف اللي تعادل نصيبه في البيت,Najdi
كوميدي,اتفضل,Khaliji
كوميدي,اقول يا الحبيب,Najdi
كوميدي,ها دكتور شو رايك في تنظيفي,Hijazi
درامي,يمه اقصد اكيد في دافع نفسي ورا زعل جدي الشبيب الكثير,Najdi
كوميدي,شقصدك يا خال اه ايش قصدك انت,Hijazi
درامي,هاهاها للاسف اي,Najdi
كوميدي,انا اللي ابغى اوريك الشي المميز اللي ما في اميز منه,Najdi
اطفال,انا,Hijazi
اطفال,ما خلص الروبوت و,Hijazi
كوميدي,يا سلام,Najdi
كوميدي,لكن قالوه اللي يده في المويه مهو بمثل اللي يده في النار,Khaliji
كوميدي,وين,Khaliji
درامي,تفضل تفضل,Hijazi
درامي,المهم دحين كده خلينا في موضوع الجواز زينب وش اخبارها,Hijazi
كوميدي,اهم شيء الان تلقط عنوانها وترسلها رسالة وباختصار الشغل كله,Najdi
كوميدي,شيرة بنص يا من حصل الهارب خميس شيرة,Khaliji
كوميدي,طمنيني عسيري انا بصراحة قلبي كذا مرة متوحش عليها وياكلني كيف غيرواضح ان شاء الله الامور ميسرة,Hijazi
درامي,ماشي بهال سكه ماتقلقوش ربنا يستر بقى,Egyptian
اطفال,ها شقلت,Hijazi
كوميدي,ال مبتلي بالمخدرات اذا كان عنده ارادة ممكن ممكن يتعالج كاي مثل اي مريض ثاني ما فيها شيء,Hijazi
كوميدي,شتسوي هنا انت انا اللي شسوي انتااللي شتسوي هنا وش اسوي في عيادتي يا مصيبة من مصايب الارض قم قم يلاه و نور اللمبة حقت اللوحة العيادة وزبط العيادة والحقني يلا ابشر,Najdi
كوميدي,ميسيو,Najdi
اطفال,انتوا تبغوا تجنوني تبغوا تعزبوني في احد في الدنيا يلاقي كنز في يده ويرجعه لاهله مرة تانية هذا هو ثالث يا سمورة افتكره,Hijazi
اطفال,يا حضرة النقيب مرزوق كان صحته جيدة ويقدر يمشي بشكل طبيعي يعني يروح الحديقة يتمشى في المطار او شيء من هذا القبيل وقريب وكان دحين راح البيت وبيقول انه اعطاه رقم البيت لانه ممكن يفتكره مرة ثانية,Hijazi
درامي,مع السلامه غيرواضح من صباح الله خير,Najdi
درامي,عيشتي هيشي وايامي,Khaliji
كوميدي,تفضل تفضل حبيبي انت اتاخرت على فكرة ه,Egyptian
درامي,بعد قليل سوف يفرج الستار اسفه قصدي سوف ينفتح الباب ويخرج نجم الموسم وكل موسم ثم تبدا احداث فيلم الليلة المثير ابن فهر العزيز,Khaliji
درامي,صراحة يا جدي العود هو شغل خاص شوي بس ان شاء الله لا قضيته ابي اعلمك,Najdi
كوميدي,هي جت هنا ماشفتها ما خذيت بالي,Najdi
كوميدي,عيالك كل سنة وكل واحد له مشكلة,Najdi
اطفال,وانا كنت مجهزتلك الفاتورة اتفضل,Hijazi
درامي,هذا كله اللي شفته وما هو مجانين,Hijazi
كوميدي,وبعدين قلت لي لا ما اقدر,Hijazi
كوميدي,كان يعرف ها الثغرة,Najdi
اطفال,فكرة نسيت اقولك ان السمكة الذهبية كانت جايبة,Hijazi
كوميدي,وماله بقى لما يبقى وزير اي حاجة تخدم البلد,Egyptian
كوميدي,والعسكري بتاعي فين,Egyptian
درامي,ما يبي له تفكير ولا فهم ببساطة مشت عليه اللعبة,Najdi
كوميدي,يا ولد,Khaliji
كوميدي,ولا كبي تشبين النار و تصبين فوقه عالنار بنزين اعوذ بالله تبينها تتطلق وتجي تقعد جنبك,Najdi
كوميدي,انتم وكبار و تعرفون مصلحتكم زين واي شيء تشوفون في مصلحتكم سووه وبالنسبة لك يا فوزية حبيتي تجلسي هنا في المملكة اهلا وسهلا حبيتي تروحي امريكا انتي حرة كلكم احرار من الان فصاعدا ابعدوا عني,Najdi
درامي,موافقة ولا لا,Hijazi
اطفال,انا حر,Hijazi
درامي,انا اللي في قلبي كلام كثير ودي اقوله لوالدتي,Najdi
كوميدي,فقعت اذني ياخلع,Khaliji
درامي,وقالت لها تقوم من العملية زي الاول واحسن,Egyptian
كوميدي,اذا وقفت سيارة وراعيها عيها يعطيه قال تراها ثايرة تبيها في الاديتر ولا في المكينة ولا في الكفر,Khaliji
درامي,بعد ما انطردت من البيت ما لقيت من يلفيها غير ميزر,Najdi
درامي,اعمل ايه مش عشان نكسب وقتنا يلا دكتور يلا,Egyptian
اطفال,على العموم هاهاها طالما انك انت اخترت الشقي خلاص هديك هو المفروض يعني انك انت تقراه كويس لتحفظه ها يا بابا,Hijazi
اطفال,ايش الغلبة هذي اللي مسويها سلامة هنا عند الباب,Hijazi
درامي,ابغى اشوفه يا حميد,Najdi
كوميدي,كنت فين من زمان,Egyptian
كوميدي,الحين هو طيار,Khaliji
اطفال,ما تتكلم يا حكيم,Hijazi
اطفال,غيرواضح من هنا ولا نقص,Najdi
كوميدي,ما في مانع بس انا بسالك سؤال بسيط,Khaliji
درامي,انتو تعشيتوا وانا قاعدة انطركم,Najdi
درامي,سلام يلا عاد اطلعي اطلعي غرفتك يضبطون لك ياه علاخر,Khaliji
اطفال,حاضر كلامك,Khaliji
كوميدي,وشلون اه اجتمعوا عندنا قدام القسم,Najdi
كوميدي,اذا تبي تخلص نفسك قول لي بعت الجواز على مين,Najdi
اطفال,يعني هم كده رايحين يحبسونا من غير ما يحاكمونا ولا يسمعوا مننا عملنا ايش,Hijazi
درامي,نسيت اقول لك,Egyptian
درامي,لا لا لا لا,Hijazi
كوميدي,يا ر الحقيني يا رحمة رحمة الحقيني,Khaliji
كوميدي,ها بشر,Najdi
درامي,انت كيف تصرفت,Najdi
درامي,طيب لو سمحتي اتفضلي اخرجي خليني اروق مع نفسي شوية اتفضلي,Hijazi
درامي,وشلون تبيني اوصل له وهو ما ترك لنا اي عنوان,Khaliji
اطفال,حالة التوتر اللي عندنا في البيت زي ما كانت امس رغم انه المويه رجعت من تاني,Hijazi
كوميدي,في نقل المدرسات,Najdi
درامي,ويهدي لك محمد,Najdi
كوميدي,لا يا باشا الموضوع مش كذا بس هو الناس فهمتني غلط اصلي انا يا باشا اصلي انا مش بتاع انتخابات ولا حاجة انا مشجع زملكاوي,Egyptian
درامي,سامحيني,Hijazi
درامي,انا بروح اذاكر,Khaliji
كوميدي,سم,Khaliji
درامي,هو انا لما كنت بعرف اللي بيحصل,Egyptian
كوميدي,هذه مية وثلاثة و خمسين الف ابراهيم عندنا والله يوفقك بوظيفتك الجديدة طبعا انت تستاهل كل خير,Khaliji
درامي,ولا خواف,Khaliji
درامي,خير يا ميزر,Hijazi
كوميدي,شنطتك وخلصني يلا,Najdi
درامي,اثير اسمعيني,Hijazi
